,"(('bel', 'demand_el'), 'flow')","(('bel', 'excess_el'), 'flow')","(('pp_coal', 'bel'), 'flow')","(('pp_gas', 'bel'), 'flow')","(('pp_oil', 'bel'), 'flow')","(('pv', 'bel'), 'flow')","(('shortage_el', 'bel'), 'flow')"
2022-01-01 00:00:00,18397866.39340403,0.0,0.0,0.0,18397866.0,0.0,0.0
2022-01-01 01:00:00,16696509.433869574,0.0,0.0,0.0,16696509.0,0.0,0.0
2022-01-01 02:00:00,16392058.8111063,0.0,0.0,0.0,16392059.0,0.0,0.0
2022-01-01 03:00:00,16279357.898254508,0.0,0.0,0.0,16279358.0,0.0,0.0
2022-01-01 04:00:00,19893550.09593864,0.0,0.0,0.0,19893550.0,0.0,0.0
2022-01-01 05:00:00,27654144.96442136,0.0,0.0,0.0,27654145.0,0.0,0.0
2022-01-01 06:00:00,36754646.287490174,0.0,0.0,0.0,36754271.0,375.30956799999996,0.0
2022-01-01 07:00:00,33807203.474476114,0.0,0.0,0.0,33798331.0,8872.756736,0.0
2022-01-01 08:00:00,26717156.236697603,0.0,0.0,0.0,26698759.0,18397.691391999997,0.0
2022-01-01 09:00:00,21606428.62743001,0.0,0.0,0.0,21570754.0,35674.300672,0.0
2022-01-01 10:00:00,16236662.441716632,0.0,0.0,0.0,16160508.0,76154.312448,0.0
2022-01-01 11:00:00,15996333.2466091,0.0,0.0,0.0,15881944.0,114389.21088,0.0
2022-01-01 12:00:00,14962198.694630966,0.0,0.0,0.0,14842933.0,119265.499904,0.0
2022-01-01 13:00:00,13908722.404556777,0.0,0.0,0.0,13830896.0,77826.804736,0.0
2022-01-01 14:00:00,13885785.109078916,0.0,0.0,0.0,13838985.0,46799.675903999996,0.0
2022-01-01 15:00:00,16580070.040639998,0.0,0.0,0.0,16572851.0,7219.26016,0.0
2022-01-01 16:00:00,34266946.59848797,0.0,0.0,0.0,34248108.0,18838.285056,0.0
2022-01-01 17:00:00,52896131.727669105,0.0,0.0,0.0,52883316.0,12815.877887999999,0.0
2022-01-01 18:00:00,56915628.12618319,0.0,0.0,0.0,56915570.0,58.38592,0.0
2022-01-01 19:00:00,55416440.85681743,0.0,0.0,0.0,55416441.0,0.0,0.0
2022-01-01 20:00:00,54998808.000076935,0.0,0.0,0.0,54998808.0,0.0,0.0
2022-01-01 21:00:00,46210853.19185927,0.0,0.0,0.0,46210853.0,0.0,0.0
2022-01-01 22:00:00,34680484.748823084,0.0,0.0,0.0,34680485.0,0.0,0.0
2022-01-01 23:00:00,25883597.626737937,0.0,0.0,0.0,25883598.0,0.0,0.0
2022-01-02 00:00:00,20585280.957925368,0.0,0.0,0.0,20585281.0,0.0,0.0
2022-01-02 01:00:00,20337977.611743335,0.0,0.0,0.0,20337978.0,0.0,0.0
2022-01-02 02:00:00,20565000.276219193,0.0,0.0,0.0,20565000.0,0.0,0.0
2022-01-02 03:00:00,21209643.85796016,0.0,0.0,0.0,21209644.0,0.0,0.0
2022-01-02 04:00:00,25043372.54787065,0.0,0.0,0.0,25043373.0,0.0,0.0
2022-01-02 05:00:00,34214262.61913689,0.0,0.0,0.0,34214263.0,0.0,0.0
2022-01-02 06:00:00,44735877.715019494,0.0,0.0,0.0,44734958.0,919.268864,0.0
2022-01-02 07:00:00,42594312.81846193,0.0,0.0,0.0,42578172.0,16140.51456,0.0
2022-01-02 08:00:00,40390185.561707534,0.0,0.0,0.0,40355742.0,34443.601664,0.0
2022-01-02 09:00:00,34902636.46018771,0.0,0.0,0.0,34846388.0,56248.890624,0.0
2022-01-02 10:00:00,28954309.76002129,0.0,0.0,0.0,28888147.0,66162.773504,0.0
2022-01-02 11:00:00,28063893.93457506,0.0,0.0,0.0,28015221.0,48673.015552000004,0.0
2022-01-02 12:00:00,26109051.14366464,0.0,0.0,0.0,26045336.0,63715.277312,0.0
2022-01-02 13:00:00,25072681.09324212,0.0,0.0,0.0,25004382.0,68299.538944,0.0
2022-01-02 14:00:00,24940587.76438795,0.0,0.0,0.0,24877121.0,63466.585856000005,0.0
2022-01-02 15:00:00,27259619.10677329,0.0,0.0,0.0,27218335.0,41284.066304,0.0
2022-01-02 16:00:00,43949140.538367525,0.0,0.0,0.0,43908703.0,40437.1328,0.0
2022-01-02 17:00:00,57706570.745536685,0.0,0.0,0.0,57688442.0,18128.779263999997,0.0
2022-01-02 18:00:00,59677977.50917927,0.0,0.0,0.0,59676244.0,1733.638912,0.0
2022-01-02 19:00:00,57744842.8022333,0.0,0.0,0.0,57744843.0,0.0,0.0
2022-01-02 20:00:00,57116533.8339878,0.0,0.0,0.0,57116534.0,0.0,0.0
2022-01-02 21:00:00,47373081.701096416,0.0,0.0,0.0,47373082.0,0.0,0.0
2022-01-02 22:00:00,34547595.01577044,0.0,0.0,0.0,34547595.0,0.0,0.0
2022-01-02 23:00:00,23858788.18159665,0.0,0.0,0.0,23858788.0,0.0,0.0
2022-01-03 00:00:00,18117631.722351387,0.0,0.0,0.0,18117632.0,0.0,0.0
2022-01-03 01:00:00,17170626.597000346,0.0,0.0,0.0,17170627.0,0.0,0.0
2022-01-03 02:00:00,16804300.59928721,0.0,0.0,0.0,16804301.0,0.0,0.0
2022-01-03 03:00:00,16875589.609229982,0.0,0.0,0.0,16875590.0,0.0,0.0
2022-01-03 04:00:00,20252029.01010598,0.0,0.0,0.0,20252029.0,0.0,0.0
2022-01-03 05:00:00,29123969.13879141,0.0,0.0,0.0,29123969.0,0.0,0.0
2022-01-03 06:00:00,41527091.85109272,0.0,0.0,0.0,41526435.0,657.312768,0.0
2022-01-03 07:00:00,43035990.232673734,0.0,0.0,0.0,43020585.0,15405.575168000001,0.0
2022-01-03 08:00:00,40288782.171923794,0.0,0.0,0.0,40231944.0,56838.609408000004,0.0
2022-01-03 09:00:00,36642932.37637099,0.0,0.0,0.0,36557528.0,85404.60160000001,0.0
2022-01-03 10:00:00,31369274.056352075,0.0,0.0,0.0,31280492.0,88782.320384,0.0
2022-01-03 11:00:00,31048598.53601276,0.0,0.0,0.0,30969130.0,79468.96102399999,0.0
2022-01-03 12:00:00,30935863.264195036,0.0,0.0,0.0,30873075.0,62787.972608,0.0
2022-01-03 13:00:00,30296631.92493853,0.0,0.0,0.0,30253226.0,43406.050815999995,0.0
2022-01-03 14:00:00,29985207.17761669,0.0,0.0,0.0,29974678.0,10529.402368,0.0
2022-01-03 15:00:00,31833335.996816933,0.0,0.0,0.0,31825051.0,8284.836864,0.0
2022-01-03 16:00:00,49708308.692025535,0.0,0.0,0.0,49701675.0,6634.0336640000005,0.0
2022-01-03 17:00:00,63427762.156307474,0.0,0.0,0.0,63419928.0,7834.017536,0.0
2022-01-03 18:00:00,62571988.03880238,0.0,0.0,0.0,62571894.0,94.25689600000001,0.0
2022-01-03 19:00:00,59196138.95618977,0.0,0.0,0.0,59196139.0,0.0,0.0
2022-01-03 20:00:00,58147152.57030404,0.0,0.0,0.0,58147153.0,0.0,0.0
2022-01-03 21:00:00,47921999.42988492,0.0,0.0,0.0,47921999.0,0.0,0.0
2022-01-03 22:00:00,34278354.75317146,0.0,0.0,0.0,34278355.0,0.0,0.0
2022-01-03 23:00:00,23940164.38633648,0.0,0.0,0.0,23940164.0,0.0,0.0
