,timestep,demand_el,pv,wind
0,1,18397.86639340403,0.0,0.10702
1,2,16696.509433869574,0.0,0.074873
2,3,16392.0588111063,0.0,0.055654
3,4,16279.357898254508,0.0,0.065059
4,5,19893.55009593864,0.0,0.085573
5,6,27654.14496442136,0.0,0.096229
6,7,36754.64628749018,0.001466053,0.11794
7,8,33807.20347447611,0.034659206,0.15953
8,9,26717.156236697603,0.071865982,0.23717
9,10,21606.42862743001,0.139352737,0.28515
10,11,16236.662441716631,0.297477783,0.35724
11,12,15996.3332466091,0.446832855,0.46354
12,13,14962.198694630966,0.465880859,0.56932
13,14,13908.722404556778,0.304010956,0.68999
14,15,13885.785109078915,0.182811234,0.79517
15,16,16580.07004064,0.028200235,0.86893
16,17,34266.94659848797,0.073587051,0.92278
17,18,52896.131727669104,0.050062023,0.95895
18,19,56915.62812618319,0.00022807,0.97963
19,20,55416.44085681743,0.0,0.99052
20,21,54998.80800007693,0.0,0.99626
21,22,46210.85319185927,0.0,0.99859
22,23,34680.48474882308,0.0,0.99933
23,24,25883.597626737937,0.0,0.99923
24,25,20585.28095792537,0.0,0.99874
25,26,20337.977611743336,0.0,0.99845
26,27,20565.000276219194,0.0,0.99779
27,28,21209.64385796016,0.0,0.99735
28,29,25043.37254787065,0.0,0.9969
29,30,34214.26261913689,0.0,0.99637
30,31,44735.877715019495,0.003590894,0.99481
31,32,42594.312818461935,0.063048885,0.99304
32,33,40390.185561707534,0.134545319,0.99142
33,34,34902.636460187714,0.219722229,0.99039
34,35,28954.309760021293,0.258448334,0.98986
35,36,28063.89393457506,0.190128967,0.98947
36,37,26109.05114366464,0.248887802,0.99026
37,38,25072.681093242118,0.266795074,0.99193
38,39,24940.58776438795,0.247916351,0.99271
39,40,27259.61910677329,0.161265884,0.99281
40,41,43949.14053836752,0.15795755,0.99158
41,42,57706.57074553669,0.070815544,0.99079
42,43,59677.97750917927,0.006772027,0.99146
43,44,57744.8428022333,0.0,0.99194
44,45,57116.5338339878,0.0,0.99202
45,46,47373.08170109642,0.0,0.99239
46,47,34547.59501577044,0.0,0.99198
47,48,23858.78818159665,0.0,0.99105
48,49,18117.631722351387,0.0,0.98873
49,50,17170.626597000344,0.0,0.98524
50,51,16804.30059928721,0.0,0.98152
51,52,16875.58960922998,0.0,0.98
52,53,20252.02901010598,0.0,0.97512
53,54,29123.96913879141,0.0,0.96149
54,55,41527.09185109272,0.002567628,0.94655
55,56,43035.990232673736,0.060178028,0.94065
56,57,40288.78217192379,0.222025818,0.93581
57,58,36642.93237637099,0.333611725,0.9057
58,59,31369.274056352075,0.346805939,0.87636
59,60,31048.59853601276,0.310425629,0.85986
60,61,30935.863264195035,0.245265518,0.87187
61,62,30296.63192493853,0.169554886,0.88404
62,63,29985.20717761669,0.041130478,0.90285
63,64,31833.33599681693,0.032362644,0.92233
64,65,49708.30869202554,0.025914194,0.94465
65,66,63427.76215630747,0.030601631,0.95549
66,67,62571.98803880238,0.000368191,0.96371
67,68,59196.13895618977,0.0,0.9678
68,69,58147.152570304046,0.0,0.97427
69,70,47921.99942988492,0.0,0.97693
70,71,34278.35475317146,0.0,0.9763
71,72,23940.16438633648,0.0,0.97646
72,73,18204.27391644865,0.0,0.97775
73,74,17292.386044190887,0.0,0.9796
74,75,17177.240841933733,0.0,0.98278
75,76,17530.320385768006,0.0,0.98391
76,77,21643.538149484324,0.0,0.98546
77,78,31086.94311343167,0.0,0.98765
78,79,44639.2028832282,0.000168531,0.99015
79,80,46785.83928436224,0.039251251,0.99225
80,81,44139.73477623896,0.139739792,0.99371
81,82,40028.48319071537,0.243102844,0.9935
82,83,34032.93625181521,0.411014526,0.99284
83,84,33941.58588770854,0.481843292,0.9932
84,85,32157.791080388168,0.289016693,0.9939
85,86,31887.68730361171,0.28345874,0.9946
86,87,31325.05819477277,0.132931274,0.99482
87,88,33682.76461789176,0.031414862,0.99465
88,89,52417.021861647154,0.020713522,0.99386
89,90,66631.47832552796,0.008856142,0.99291
90,91,66248.08012255223,0.000347697,0.99168
91,92,64115.00431793397,0.0,0.98756
92,93,62704.58767011591,0.0,0.97564
93,94,52518.59096160609,0.0,0.95063
94,95,38689.51016744822,0.0,0.89537
95,96,28762.033910124737,0.0,0.77284
96,97,23165.1590196752,0.0,0.68626
97,98,22332.652625640745,0.0,0.58396
98,99,22236.600220357926,0.0,0.45925
99,100,22294.865840661125,0.0,0.41573
100,101,26046.151882600192,0.0,0.39466
101,102,35141.896558976594,0.0,0.44267
102,103,47641.37020735151,0.000274334,0.5154
103,104,49494.08791140528,0.038503933,0.55825
104,105,47968.22674037166,0.08910569,0.59368
105,106,43486.38473230363,0.128272568,0.56689
106,107,38442.54121616506,0.16723938,0.52071
107,108,37547.646337768485,0.18846669,0.53577
108,109,35171.989294384635,0.200176682,0.54674
109,110,33942.377329100345,0.19161969,0.56219
110,111,33393.71408338214,0.179534378,0.59634
111,112,35121.3149653565,0.14363382,0.60329
112,113,52332.85476306851,0.087210724,0.61437
113,114,67200.5569395941,0.041372684,0.67381
114,115,67592.36557640784,0.000441839,0.74123
115,116,66120.14652199145,0.0,0.82476
116,117,64242.22011189561,0.0,0.89963
117,118,53893.95448973895,0.0,0.94793
118,119,40417.07680005464,0.0,0.96764
119,120,30705.825758069783,0.0,0.97588
120,121,24915.530722198844,0.0,0.97923
121,122,24058.580637539988,0.0,0.96818
122,123,24026.111742408168,0.0,0.96364
123,124,24674.49129926707,0.0,0.96655
124,125,28584.29366735233,0.0,0.95912
125,126,37347.069563417375,0.0,0.9409
126,127,49572.81681175208,0.000487757,0.90182
127,128,50702.48746137519,0.045467308,0.84907
128,129,48459.396011390185,0.099057396,0.77243
129,130,42845.721392127845,0.166975082,0.69315
130,131,36975.387713183314,0.202394684,0.64418
131,132,36328.91553338023,0.239808334,0.65718
132,133,34857.96211808685,0.245880646,0.71166
133,134,33154.536242867434,0.244619629,0.741
134,135,31867.34998841608,0.197009888,0.78431
135,136,33486.94149218372,0.166681946,0.84363
136,137,50211.154312623126,0.099648987,0.89667
137,138,64120.37335168034,0.045143486,0.94979
138,139,64637.67741080256,0.00042242,0.97085
139,140,62564.02916539204,0.0,0.9807
140,141,62156.003427888834,0.0,0.98644
141,142,51395.63417749793,0.0,0.99008
142,143,37700.32297602647,0.0,0.99254
143,144,28078.66682753325,0.0,0.99346
144,145,22426.42589133334,0.0,0.99428
145,146,21765.49232648492,0.0,0.99534
146,147,21200.375230528614,0.0,0.9965
147,148,21101.586029586357,0.0,0.99709
148,149,24875.11094254051,0.0,0.99769
149,150,32860.04358033,0.0,0.99813
150,151,42272.94641068861,0.002113509,0.99826
151,152,38586.02373081674,0.056863956,0.99818
